City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kaitangata,-46.2817,169.8464,52.0,71,95,21.0,NZ,1611806035
Jamestown,42.097,-79.2353,21.99,86,90,7.54,US,1611805907
Gumdag,39.2061,54.5906,37.26,75,19,23.8,TM,1611806035
El Salvador,13.8333,-88.9167,75.2,83,0,1.14,SV,1611806035
Mount Gambier,-37.8333,140.7667,82.4,39,100,8.05,AU,1611806010
Tsumeb,-19.2333,17.7167,68.0,83,75,3.44,NA,1611806036
Palestine,31.9216,35.2033,59.0,63,40,9.22,PS,1611806036
Vao,-22.6667,167.4833,78.22,86,100,21.94,NC,1611806036
Bengkulu,-3.8004,102.2655,81.55,70,100,2.8,ID,1611806019
Provideniya,64.3833,-173.3,1.08,89,97,22.77,RU,1611806037
Broome,42.2506,-75.833,19.99,86,90,8.05,US,1611806037
Busselton,-33.65,115.3333,75.99,45,22,5.01,AU,1611806038
Tete,-16.1564,33.5867,75.2,100,40,2.3,MZ,1611806038
Tuktoyaktuk,69.4541,-133.0374,-31.0,75,1,3.44,CA,1611806038
Rikitea,-23.1203,-134.9692,79.63,73,89,10.31,PF,1611806038
Punta Arenas,-53.15,-70.9167,42.8,81,90,16.11,CL,1611806039
Albany,42.6001,-73.9662,28.0,88,95,8.39,US,1611805857
Yellowknife,62.456,-114.3525,-9.99,77,90,4.61,CA,1611806039
Atuona,-9.8,-139.0333,78.51,81,2,17.0,PF,1611806039
Aripuanã,-9.1667,-60.6333,72.16,99,92,1.36,BR,1611806040
Oparino,59.8518,48.2783,24.4,97,100,6.38,RU,1611806040
Chapais,49.7834,-74.8492,10.4,85,90,9.22,CA,1611806040
Hermanus,-34.4187,19.2345,52.0,92,3,6.11,ZA,1611806040
Saskylakh,71.9167,114.0833,-43.11,80,87,2.86,RU,1611806041
Leningradskiy,69.3833,178.4167,-18.33,87,100,2.86,RU,1611806041
Hilo,19.7297,-155.09,75.2,69,90,11.5,US,1611805872
Bluff,-46.6,168.3333,55.0,69,91,17.0,NZ,1611806042
Port Alfred,-33.5906,26.891,60.01,86,48,1.99,ZA,1611806042
São João da Barra,-21.6403,-41.0511,76.71,84,0,14.41,BR,1611806042
Cape Town,-33.9258,18.4232,64.0,82,0,10.36,ZA,1611805865
Barabinsk,55.3571,78.357,17.33,97,97,8.99,RU,1611806043
Raudeberg,61.9875,5.1352,30.0,92,61,7.31,NO,1611806043
Butaritari,3.0707,172.7902,81.25,78,92,15.84,KI,1611806043
Airai,-8.9266,125.4092,62.42,100,100,5.17,TL,1611806043
