City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Myitkyina,25.3833,97.4,54.45,59,0,2.86,MM,1611881612
Yellowknife,62.456,-114.3525,-16.06,89,100,4.05,CA,1611881526
Tasiilaq,65.6145,-37.6368,22.64,96,100,10.54,GL,1611881481
Busselton,-33.65,115.3333,70.0,73,0,1.01,AU,1611881613
Pevek,69.7008,170.3133,-21.06,87,100,0.85,RU,1611881613
Esna,25.2934,32.554,50.0,71,0,6.78,EG,1611881613
Katsuura,35.1333,140.3,46.69,53,9,13.69,JP,1611881613
Saldanha,-33.0117,17.9442,57.2,77,0,4.61,ZA,1611881613
Jalu,29.0331,21.5482,49.42,85,0,7.07,LY,1611881613
Norman Wells,65.282,-126.8329,-27.4,68,20,2.3,CA,1611881512
Vaini,-21.2,-175.2,80.33,83,100,29.08,TO,1611881614
Egvekinot,66.3167,-179.1667,-18.67,84,7,21.47,RU,1611881614
Klaksvík,62.2266,-6.589,32.0,69,20,11.5,FO,1611881535
Albany,42.6001,-73.9662,17.01,64,26,3.0,US,1611881614
Saskylakh,71.9167,114.0833,-41.1,79,40,4.05,RU,1611881614
Cidreira,-30.1811,-50.2056,72.41,94,100,14.76,BR,1611881614
Atuona,-9.8,-139.0333,78.94,74,14,18.59,PF,1611881614
Butaritari,3.0707,172.7902,80.78,78,88,15.48,KI,1611881614
Antalaha,-14.9003,50.2788,75.4,88,6,3.65,MG,1611881615
Cuicatlan,17.8,-96.9667,65.71,73,100,4.65,MX,1611881615
Ribeira Grande,38.5167,-28.7,60.33,88,100,37.51,PT,1611881615
Qaanaaq,77.484,-69.3632,-13.38,65,0,7.02,GL,1611881500
Bambous Virieux,-20.3428,57.7575,75.99,88,40,9.24,MU,1611881503
Longyearbyen,78.2186,15.6401,-2.2,46,20,18.41,SJ,1611881615
São Filipe,14.8961,-24.4956,73.24,67,0,5.59,CV,1611881615
Poum,-20.2333,164.0167,81.05,78,100,9.84,NC,1611881615
Bluff,-46.6,168.3333,48.0,80,100,8.01,NZ,1611881615
Nome,64.5011,-165.4064,12.2,67,90,8.05,US,1611881417
Kapaa,22.0752,-159.319,75.2,69,90,19.57,US,1611881616
Cape Town,-33.9258,18.4232,64.0,88,0,4.61,ZA,1611881351
Flinders,-34.5833,150.8552,69.01,93,100,1.99,AU,1611881616
Thompson,55.7435,-97.8558,-4.0,84,75,4.61,CA,1611881458
Punta Arenas,-53.15,-70.9167,46.4,61,75,19.57,CL,1611881463
Mashhad,36.297,59.6062,37.4,44,0,4.61,IR,1611881480
Constitución,-35.3333,-72.4167,58.73,87,65,7.56,CL,1611881616
Saint George,37.1041,-113.5841,55.4,33,1,19.57,US,1611881457
Smiltene,57.4244,25.9016,25.0,95,100,1.01,LV,1611881617
Aklavik,68.2191,-135.0107,-25.6,68,40,5.75,CA,1611881422
Belyy Yar,53.6039,91.3903,26.6,59,100,22.37,RU,1611881464
Grindavik,63.8424,-22.4338,32.86,79,45,4.36,IS,1611881617
Constantine,36.365,6.6147,52.25,79,6,6.46,DZ,1611881617
Tyrma,50.0833,132.1667,-16.4,83,51,1.99,RU,1611881617
Rincon,32.296,-81.2354,42.84,62,0,5.26,US,1611881328
Ushuaia,-54.8,-68.3,42.8,81,75,28.77,AR,1611881460
Broome,42.2506,-75.833,15.01,67,90,16.11,US,1611881617
Kaseda-shirakame,31.4167,130.3167,37.4,56,40,24.16,JP,1611881618
Mahébourg,-20.4081,57.7,78.84,75,38,9.06,MU,1611881618
Hobyo,5.3505,48.5268,75.51,72,1,17.09,SO,1611881618
Gilgit,35.9221,74.3087,21.96,53,13,4.56,PK,1611881618
Rikitea,-23.1203,-134.9692,79.93,67,23,4.9,PF,1611881618
Zhezkazgan,47.8043,67.7144,11.39,93,0,8.57,KZ,1611881618
Zhigansk,66.7697,123.3711,-52.4,75,50,6.6,RU,1611881618
Benjamin Constant,-4.3831,-70.0311,75.27,96,100,0.54,BR,1611881618
Mazara del Vallo,37.6641,12.588,60.01,100,32,1.99,IT,1611881618
Rawson,-43.3002,-65.1023,61.41,58,0,13.51,AR,1611881619
Lappeenranta,61.0587,28.1887,25.88,98,100,6.76,FI,1611881619
Osinovo,55.8809,48.881,15.8,79,0,11.18,RU,1611881619
Port Alfred,-33.5906,26.891,65.88,82,0,3.31,ZA,1611881498
Hare Bay,48.8499,-54.0148,21.2,93,62,5.75,CA,1611881619
Tiksi,71.6872,128.8694,-24.52,86,99,7.87,RU,1611881619
Sangar,63.9242,127.4739,-53.43,73,75,3.49,RU,1611881619
Coyhaique,-45.5752,-72.0662,51.8,62,75,3.44,CL,1611881620
Hilo,19.7297,-155.09,80.6,54,20,9.22,US,1611881454
Keningau,5.3378,116.1602,78.8,78,20,5.75,MY,1611881620
Mindelo,16.8901,-24.9804,69.8,83,20,19.57,CV,1611881571
Faanui,-16.4833,-151.75,81.36,67,100,5.23,PF,1611881620
Oga,46.4631,10.347,43.0,100,0,4.61,IT,1611881620
Bethel,41.3712,-73.414,19.0,58,0,15.66,US,1611881620
San Cristobal,7.7669,-72.225,66.16,86,100,2.35,VE,1611881513
Naze,28.3667,129.4833,51.8,76,75,14.97,JP,1611881620
São João da Barra,-21.6403,-41.0511,78.04,81,20,21.39,BR,1611881621
Souillac,-20.5167,57.5167,75.2,88,40,7.99,MU,1611881621
Marsabit,2.3284,37.9899,67.62,60,6,7.4,KE,1611881621
Valdivia,-39.8142,-73.2459,57.2,100,90,4.61,CL,1611881521
Hasaki,35.7333,140.8333,45.0,75,20,13.8,JP,1611881621
Igrim,63.1906,64.4162,-20.34,87,46,5.88,RU,1611881621
Ilulissat,69.2167,-51.1,8.6,52,0,8.05,GL,1611881621
Pisco,-13.7,-76.2167,71.2,72,69,1.3,PE,1611881621
Lebu,-37.6167,-73.65,58.75,97,100,12.84,CL,1611881511
Kankaanpää,61.8,22.4167,14.45,96,26,6.04,FI,1611881622
Honningsvåg,70.9821,25.9704,25.38,90,100,29.59,NO,1611881622
Hibbing,47.4272,-92.9377,10.4,67,1,5.75,US,1611881622
Husavik,66.0449,-17.3389,-7.6,84,0,9.01,IS,1611881622
Korba,22.35,82.6833,60.03,59,19,2.95,IN,1611881622
Lagoa,39.05,-27.9833,62.35,91,100,37.45,PT,1611881622
Sabzawār,36.2126,57.6819,39.02,60,0,2.35,IR,1611881622
Dikson,73.5069,80.5464,-32.42,80,46,2.62,RU,1611881622
Oistins,13.0667,-59.5333,78.8,65,40,12.66,BB,1611881438
Playa Vicente,17.8333,-95.8167,66.81,83,100,5.59,MX,1611881623
Chokurdakh,70.6333,147.9167,-19.19,88,100,6.44,RU,1611881482
Mahibadhoo,3.7833,72.9667,79.9,75,53,13.22,MV,1611881623
Mirny,62.5353,113.9611,-45.27,78,72,3.49,RU,1611881623
Puerto Ayora,-0.7393,-90.3518,79.0,91,75,5.01,EC,1611881623
Basco,20.4487,121.9702,68.61,79,100,36.04,PH,1611881623
Ozernovskiy,51.5,156.5167,25.36,95,100,5.37,RU,1611881623
Verkhnyaya Inta,65.9811,60.3094,-29.72,84,0,3.85,RU,1611881623
Sola,-13.8833,167.55,89.6,70,75,4.83,VU,1611881624
Portland,45.5234,-122.6762,44.8,80,100,1.1,US,1611881323
Kalangala,-0.3089,32.225,70.83,79,51,9.82,UG,1611881624
Cervo,43.6702,-7.4101,55.0,98,95,11.99,ES,1611881624
